"question","answer"
"《中国高血压防治指南》首次发布于1999年，并于2005年、2010年、2018年和2024年进行了更新。","正确"
"2024年版指南是在2018年版的基础上，根据国内外最新研究进展修订完成的。","正确"
"我国高血压患病率持续增高，近年来中青年人群及农村地区上升趋势更明显。","正确"
"2018年我国18岁及以上成人高血压加权患病率为27.5%，知晓率、治疗率和控制率分别为51.6%、45.8%和16.8%。","正确"
"我国高血压患者的知晓率、治疗率和控制率（“三率”）已处于较高水平，与发达国家相当。","错误"
"高钠、低钾膳食是我国人群最重要的高血压危险因素之一。","正确"
"我国成年人约1/3对钠敏感。","正确"
"体重指数每增加5kg/m²，发生高血压的风险增加49%。","正确"
"吸烟是心血管疾病的独立危险因素，二手烟暴露同样增加风险。","正确"
"长期过量饮酒会增加高血压风险，但少量饮酒（如每日酒精摄入<15g）对健康有益。","错误"
"心理因素如焦虑、抑郁与高血压的发生相关。","正确"
"空气污染（包括室内外）可导致高血压风险增加。","正确"
"肿瘤治疗中使用酪氨酸激酶抑制剂可增加高血压负担。","正确"
"高海拔地区居民高血压患病率低于低海拔地区。","错误"
"诊室血压水平与心血管风险呈连续、独立、直接的正相关关系。","正确"
"24小时动态血压和夜间血压与心血管风险的关系比诊室血压更密切。","正确"
"脑卒中仍是目前我国高血压人群最主要的并发症。","正确"
"高血压不会导致心力衰竭。","错误"
"单纯舒张期高血压（IDH）与心血管风险增加无关。","错误"
"脉压过大或过小都可能增加不良心血管结局风险。","正确"
"高血压是心房颤动发生的重要原因之一。","正确"
"高血压与慢性肾脏病（CKD）和终末期肾病（ESRD）风险增加相关。","正确"
"中年时期血压升高与后期痴呆风险增加有关。","正确"
"家庭清晨血压与患者预后关系不密切。","错误"
"中心动脉压与心血管风险无关。","错误"
"血压变异性（BPV）是独立于平均血压水平的心血管危险因素。","正确"
"血压目标范围内时间（TTR）是评估降压疗效的新指标，可独立预测心血管风险。","正确"
"测量血压时，首诊应测量两侧上臂血压，以血压读数较高的一侧为准。","正确"
"水银血压计是推荐的首选血压测量工具。","错误"
"测量血压时，应使用标准规格袖带，无需根据臂围调整。","错误"
"如果两次血压读数相差5mmHg以上，应再次测量，取三次读数的平均值。","错误"
"老年人、糖尿病患者应加测站立位血压，以筛查体位性低血压。","正确"
"诊室血压是诊断高血压、分级和观察疗效的唯一方法。","错误"
"动态血压监测可评估血压昼夜节律，判断夜间高血压、清晨高血压等表型。","正确"
"家庭血压监测的优势在于可以长期进行，提升高血压控制率。","正确"
"基于互联网的远程实时家庭血压监测是血压管理的新模式。","正确"
"踝臂血压指数（ABI）可用于诊断外周动脉疾病。","正确"
"自动诊室血压测量（AOBP）可有效解决诊室血压测量的规范化问题。","正确"
"可穿戴腕式电子血压计无需进行准确性验证即可使用。","错误"
"同步四肢血压测量对评估周围血管病没有价值。","错误"
"高血压诊断性评估包括确定血压水平分级、判断高血压原因、评估靶器官损害。","正确"
"所有高血压患者都应常规进行眼底镜检查。","错误"
"颈-股动脉脉搏波传导速度（cfPWV）≥10 m/s可作为大动脉僵硬度增加的指标。","正确"
"根据诊室血压水平，高血压分为1级、2级和3级，我国保留了3级高血压分类。","正确"
"家庭血压诊断高血压的标准是连续5-7天测量平均值≥135/85mmHg。","正确"
"动态血压24小时平均值≥130/80mmHg可诊断为高血压。","正确"
"动态血压夜间平均值≥120/70mmHg可诊断为夜间高血压。","正确"
"患者既往有高血压史，目前使用降压药后血压低于诊断界值，则不应再诊断为高血压。","错误"
"影响高血压患者心血管预后的危险因素包括心率增快和高尿酸血症。","正确"
"超声心动图评估左心室肥厚的左心室质量指数（LVMI）界值，男性为≥115 g/m²。","错误"
"降压药物治疗的获益主要在低危高血压患者中得到证实。","错误"
"启动降压药物治疗的时机主要取决于心血管风险，而非仅依据血压水平。","正确"
"血压≥160/100mmHg的高血压患者，应立即启动降压药物治疗。","正确"
"血压140-159/90-99mmHg的低危患者，应立即启动药物治疗。","错误"
"正常高值血压（130-139/85-89 mmHg）且心血管风险为高危/很高危者，应立即启动降压药物治疗。","正确"
"一般高血压患者推荐诊室血压降至<140/90mmHg，如能耐受，应进一步降至<130/80mmHg。","正确"
"65-79岁老年人降压目标为<140/90mmHg，如能耐受可降至<130/80mmHg。","正确"
"80岁及以上高龄老年人降压目标为<150/90mmHg，如能耐受可降至<140/90mmHg。","正确"
"家庭血压控制目标建议为<135/85mmHg。","正确"
"24小时动态血压控制目标建议为<130/80mmHg。","正确"
"对大多数高血压患者，建议在4周内或12周内将血压逐渐降至目标水平。","正确"
"所有高血压患者均应进行治疗性生活方式干预。","正确"
"建议高血压患者将钠摄入量减少至<2g/d（氯化钠5g/d）。","正确"
"肾功能良好的高血压患者，推荐选择低钠富钾替代盐。","正确"
"建议高血压患者服用钾补充剂来降低血压。","错误"
"得舒饮食（DASH饮食）可有效降低血压。","正确"
"中国心脏健康饮食（CHH饮食）可将每日钠摄入量从6g减少到3g。","正确"
"超重或肥胖的高血压患者，建议通过综合生活方式干预控制体重。","正确"
"戒烟可降低心血管疾病和全因死亡风险，但电子烟是安全的替代品。","错误"
"建议高血压患者不应饮酒。","正确"
"运动干预中，中等强度有氧运动降压效果最好。","正确"
"减轻精神压力可通过认知行为治疗、冥想、瑜伽等方法实现。","正确"
"健康睡眠包括充足的睡眠时间和良好的睡眠质量，与较低的高血压风险相关。","正确"
"常用降压药包括CCB、ACEI、ARB、噻嗪类利尿剂、β受体阻滞剂，ARNI是新一类常用降压药。","正确"
"血管紧张素受体脑啡肽酶抑制剂（ARNI）可与ACEI联用。","错误"
"ARNI（如沙库巴曲缬沙坦）已被我国批准用于原发性高血压的治疗。","正确"
"ACEI最常见的不良反应是干咳。","正确"
"ARB与ACEI联合使用可增强降压效果，推荐用于常规治疗。","错误"
"β受体阻滞剂不适合用于脉压明显增大的单纯收缩期高血压。","正确"
"盐皮质激素受体拮抗剂（MRA）如螺内酯可用于难治性高血压。","正确"
"单片复方制剂（SPC）可提高依从性，优先推荐。","正确"
"血压≥160/100 mmHg的高危患者应起始联合治疗。","正确"
"早上与晚上服用降压药相比，晚上服药能带来更多心血管获益。","错误"
"经肾动脉去交感神经术（RDN）可用于所有难治性高血压患者。","错误"
"中医药治疗高血压可改善症状，并起到一定的辅助降压作用。","正确"
"高血压合并糖尿病患者，血糖控制目标为糖化血红蛋白（HbA1c）<7%。","正确"
"SGLT2i（如达格列净、恩格列净）在合并CKD或心力衰竭的高血压患者中，具有心肾保护作用。","正确"
"高血压患者降LDL-C治疗，首选他汀类药物。","正确"
"高血压伴有缺血性心脑血管疾病的患者，推荐进行抗血小板治疗。","正确"
"阿司匹林用于一级预防时，所有高血压患者均可使用。","错误"
"高血压合并房颤患者，优先选择使用非维生素K拮抗类口服抗凝药（NOAC）。","正确"
"高血压患者心率增快定义为诊室静息心率>80次/min。","正确"
"高血压伴心率增快患者首选β受体阻滞剂。","正确"
"高血压合并高尿酸血症患者，血尿酸控制目标<360 μmol/L，痛风者<300 μmol/L。","正确"
"白大衣性高血压是指诊室血压升高而诊室外血压正常，无需治疗。","错误"
"隐蔽性高血压与靶器官损害及不良结局密切相关，需筛查和干预。","正确"
"清晨高血压定义为家庭或动态血压清晨≥135/85 mmHg。","正确"
"夜间高血压定义为动态血压夜间平均收缩压≥120 mmHg和/或舒张压≥70 mmHg。","正确"
"老年单纯收缩期高血压（ISH）患者，应尽可能避免将舒张压降至<70 mmHg。","正确"
"互联网医疗在高血压管理中可提高血压控制率，是传统方法的补充。","正确"
